category,name,url,logo,description
bronze,株式会社いい生活,https://www.e-seikatsu.info/,Dummy_sponsor.png,
bronze,株式会社オープングルーヴ,https://tracpath.com/,Dummy_sponsor.png,
special,株式会社インターネットイニシアティブ,http://www.iij.ad.jp/,IIJ_logo.png,IIJ
special,Sponsor53,http://pycon.jp/,Dummy_sponsor.png,Sponsor43
special,Sponsor54,http://pycon.jp/,Dummy_sponsor.png,Sponsor44
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor42
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor43
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor44
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor42
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor43
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor44
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor42
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor43
patron,Not yet,http://pycon.jp/,Dummy_sponsor.png,Sponsor44
